job_title,job_description,organization_name,location,department,key_skills,seniority_level,employment_type,industries,job_function,job_link,source,searched_key_ward
Suicide Intervention Training Instructor,"
        <strong>Job Title: </strong>Suicide Intervention Training Instructor<p><br></p><strong>Location : </strong>Robins AFB, Warner Robins , GA 31098<p><br></p><strong>Job Type : </strong>Part-Time<p><br></p><strong>Position Overview:</strong><p><br></p>We are seeking an experienced Suicide Intervention Training Instructor to provide a comprehensive 5-day train-the-trainer course on suicide intervention. This course aims to equip military and civilian personnel, particularly leadership, at Robins Air Force Base (AFB) with the skills to identify, be aware of, and intervene to connect at-risk personnel to life-affirming resources, following AFI 90-5001 guidelines. The instructor will play a critical role in expanding the availability of suicide intervention training, ensuring that trained and certified personnel can consistently provide this crucial training to Robins AFB personnel.<p><br></p><strong>Responsibilities:</strong><p><br></p><ul><li>Conduct a 5-day in-person train-the-trainer course, consisting of the ASIST 2-day Workshop followed by the 3-day ASIST T4T (Training for Trainers) portion.</li><li>Provide one-on-one coaching and feedback to participants during the T4T portion of the training, focusing on mastery of the ASIST workshop content.</li><li>Deliver training that covers the required curriculum, including both theory and practical applications, in alignment with the ASIST framework.</li><li>Engage participants in discussions, simulations, and exercises designed to enhance their understanding and application of suicide intervention skills.</li><li>Facilitate group discussions, interactive activities, and simulations to reinforce key concepts and skills.</li><li>Coordinate with the training team and Robins AFB personnel to ensure logistical arrangements, including training site setup, equipment, and materials, are in place.</li><li>Manage training schedules, ensuring that all participants receive comprehensive instruction.</li></ul><p><br></p><strong>Qualifications:</strong><p><br></p><ul><li>Certified and registered ASIST Trainer with experience.</li><li>Proven expertise in suicide intervention and prevention strategies.</li><li>Strong facilitation and instructional skills, with the ability to engage participants effectively.</li><li>Knowledge of the ASIST curriculum and its practical applications.</li><li>Ability to collaborate effectively with a training team and other stakeholders.</li></ul><p><br></p>Powered by JazzHR<p><br></p>rM5dpraM2F
      ",Ladgov Corporation,"Warner Robins, GA",,,Entry level,Part-time,Internet Publishing,Human Resources,https://www.linkedin.com/jobs/view/suicide-intervention-training-instructor-at-ladgov-corporation-3703445677,linkedin,"""Training"" or ""trainer"""
Technology Trainer,"
        <p>Akkodis is seeking a Technology Trainer for a contract position with a client located in Miami FL (Hybrid)</p><p><br></p><p><strong>Position: Technology Trainer</strong></p><p><strong>Duration: 18 months contract</strong></p><p><strong>Location: Miami FL (Hybrid)</strong></p><p><br></p><p><strong>Rate: $40/hr. on W2</strong></p><p><br></p><p><strong>Job Description</strong></p><p>This position requires solid proficiency in common software applications and devices, but more important is a dedication to teaching and the ability to effectively communicate the relevance of technology to seniors’ lives. A successful candidate will possess a high degree of patience, creativity, dependability, and problem-solving ability, along with a sense of humor and a strong commitment to social change.</p><p><br></p><p><strong>Responsibilities</strong>:</p><p>- Teaching technology courses virtually and in-person using the OATS curriculum and approach</p><p>- Creating a comfortable and supportive learning environment</p><p>- Offering personalized support to callers on the Senior Planet hotlines</p><p>- Making outbound calls to Senior Planet members</p><p>- Maintaining professionalism at all times</p><p>- Representing and promoting Senior Planet culture and opportunities to course participants</p><p>- Engaging in regular communication with OATS staff, including feedback on site issues, curriculum, etc.</p><p>- Coordinating with site staff, including site visits, graduations, etc.</p><p>- Submitting paperwork in a timely manner</p><p>- Collecting surveys and evaluations</p><p>- Entering data into Salesforce database</p><p>- Participating in trainer meetings and other training events</p><p>- Recruiting participants, as needed</p><p>- Participating in special projects, as needed (ex. outreach, curriculum, etc.)</p><p>- Supervising volunteers who assist classes, as needed Degree of autonomy and independent judgement</p><p><br></p><p>Equal Opportunity Employer/Veterans/Disabled</p><p><br></p><p>Benefit offerings include medical, dental, vision, term life insurance, short-term disability insurance, additional voluntary benefits, commuter benefits, and a 401K plan. Our program provides employees the flexibility to choose the type of coverage that meets their individual needs. Available paid leave may include Paid Sick Leave, where required by law; any other paid leave required by Federal, State, or local law; and Holiday pays upon meeting eligibility criteria.</p><p><br></p><p>To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.modis.com/en-us/candidate-privacy/</p><p><br></p><p>The Company will consider qualified applicants with arrest and conviction records.</p>
      ",Akkodis,"Miami, FL",,,Mid-Senior level,Contract,"IT Services and IT Consulting, Mental Health Care, and Government Administration","Engineering, Information Technology, and Design",https://www.linkedin.com/jobs/view/technology-trainer-at-akkodis-3741182353,linkedin,"""Training"" or ""trainer"""
Assistant Manager,"
        <strong>Have you heard the phrase “love what you do, and you will never work a day in your life”? <br><br></strong>Well here at <strong>Tidal Management</strong> we live that, every day. When you’re passionate about what you do, you love the people you do it with, and you’re constantly growing as a person, time flies, and you’re always having fun.<br><br><ul><li>Are you driven and looking for a career that will not only empower your personal and professional growth but will also allow you to build the career and future you desire?</li><li>Are you often described as a confident and collaborative leader?</li><li>Are you looking to BUILD opportunities for yourself and for others?<br><br></li></ul><strong>If the above describes you, then please keep reading!<br><br></strong><strong>Assistant Manager Responsibilities:<br><br></strong><ul><li>Through training become a master in our sales and marketing techniques designed to engage the consumer, educate them on their product/service options and close the best possible deal for their household</li><li>We know not every interaction ends in a sale. Your ultimate goal is to deliver an outstanding customer experience, build strong relationships with the brand and represent the company with integrity to facilitate future sales</li><li>Track new customer acquisitions, follow compliance protocols, and leverage for referrals in the local area</li><li>Once you are an expert in all things customer service and sales support, then it’s time to elevate your role to its purest form as a corporate trainer and leader. Here you will be responsible for training and developing new hires for maximum performance and setting the right example as a supportive and competent leader.</li><li>Ensure your team has accurate account updates, meets customer service and sales goals, as well as market representation.<br><br></li></ul><strong>Assistant Management Leadership Development:<br><br></strong><ul><li>Interviewing</li><li>Sales and marketing training fundamentals</li><li>Team building and mentoring</li><li>Human Resources and administration duties</li><li>Basic business management, finances, and accounting<br><br></li></ul><strong>Qualifications of an Assistant Manager:<br><br></strong><ul><li>2+ years in a related industry with demonstrated leadership ability</li><li>Competitive nature with a winning mentality needed to excel in a leadership role</li><li>Sports minded and Energetic team players</li><li>Team captains ready to grow and train</li><li>Positive Energy</li><li>Candidates who are serious about a long term career<br><br></li></ul><strong>Why Us?<br><br></strong><ul><li>We start all our assistant managers in a complete training program for the sole purpose of developing a strong leadership team from within</li><li>We do not believe in tenure or seniority, we promote to management those who get the job done and are top performers in our sales and marketing departments</li><li>We focus on developing and enhancing the competitive nature and leadership potential within every potential candidate. This is a valuable opportunity for those who have experience in sports marketing, advertising, team leadership, sales, entrepreneurship, and anybody with a competitive mindset. In the past, our top Assistant Managers have participated in Soccer, Football, Basketball, Lacrosse, Tennis, Golf, Dance, Baseball, and Hockey as a team-player, coach, or captain.<br><br></li></ul>Powered by JazzHR<br><br>AqeRktSQ5b<br><br>
      ",Tidal Management,"San Jose, CA",,,Entry level,Full-time,Internet Publishing,Other,https://www.linkedin.com/jobs/view/assistant-manager-at-tidal-management-3760743167,linkedin,"""Training"" or ""trainer"""
Retirement Planning Trainer,"
        <strong>Job Description: Retirement Planning Trainer</strong><p><br></p><strong>Position Overview:</strong> We are seeking a skilled and dedicated Retirement Planning Trainer to facilitate retirement planning training courses within the Naval Air Warfare Center Weapons Division (NAWCWD) command located at China Lake and Point Mugu, California. The trainer will deliver specialized courses including ""Federal Employees Retirement System (FERS) Planning for Retirement,"" ""Mid-Career Retirement Planning,"" and ""New Employee Benefits Orientation."" These training sessions are a critical component of the Human Capital Management Group's (DEA4000) efforts to provide comprehensive retirement planning support to NAWCWD employees at all stages of their careers.<p><br></p><strong>Responsibilities:</strong><p><br></p><ul><li>Content Expertise: Demonstrate a deep understanding of federal retirement systems, benefits, regulations, and procedures to effectively answer participant questions and provide expert guidance.</li><li>Training Materials: Prepare and customize training materials, presentations, and resources that align with the course objectives and meet the needs of diverse audiences.</li><li>Engagement and Interaction: Foster an interactive learning environment by encouraging participant engagement, discussion, and questions to ensure a comprehensive understanding of retirement planning concepts.</li><li>Program Promotion: Collaborate with the Human Capital Management Group to promote upcoming training sessions and ensure maximum participation from employees at all career levels.</li><li>Individual Consultations: Provide individualized retirement planning consultations as needed to address specific employee questions, concerns, and unique circumstances.</li><li>Continuous Improvement: Gather feedback from training participants and use insights to continuously improve course content, delivery methods, and overall effectiveness of the retirement planning program.</li><li>Documentation: Maintain accurate records of training sessions conducted, participant attendance, and any relevant feedback or evaluations.</li><li>Collaboration: Work closely with Human Resources and Benefits teams to stay updated on policy changes, benefits updates, and other relevant information that may impact retirement planning.</li></ul><p><br></p><strong>Qualifications:</strong><p><br></p><ul><li>Bachelor's degree in Human Resources, Finance, Business Administration, or a related field (Master's degree preferred).</li><li>Comprehensive knowledge of federal retirement systems, including FERS, and a strong understanding of retirement planning concepts.</li><li>Previous experience in delivering retirement planning training or related educational programs is highly desirable.</li><li>Excellent presentation and communication skills, with the ability to convey complex retirement concepts in an understandable and engaging manner.</li><li>Strong interpersonal skills to foster a positive and collaborative learning environment.</li><li>Detail-oriented with the ability to customize training materials to suit various audience backgrounds and needs.</li><li>Proficiency in using multimedia tools and software for creating presentations and training materials.</li><li>Ability to adapt to changing regulations, policies, and procedures related to federal retirement benefits.</li><li>Organizational skills to manage multiple training sessions and individual consultations effectively.</li><li>Commitment to staying current with retirement planning trends and industry updates</li></ul><p><br></p>Powered by JazzHR<p><br></p>hqKridSwVs
      ",Ladgov Corporation,"West Point, CA",,,Mid-Senior level,Part-time,Internet Publishing,Education and Training,https://www.linkedin.com/jobs/view/retirement-planning-trainer-at-ladgov-corporation-3695119165,linkedin,"""Training"" or ""trainer"""
"Corporate trainer-  Oklahoma City, OK","
        <strong>Role: Company Trainer <br><br></strong><strong>Industry: Oil and Gas <br><br></strong><strong>Location: Oklahoma City, OK 73128 <br><br></strong><strong>Experience: 2+ Years <br><br></strong><strong>Duration: Full-time, Permanent, Onsite <br><br></strong><strong><u>Job Responsibility<br><br></u></strong>Previous manufacturing experience; preferably valve industry related manufacturer.<br><br>Experience with oil and gas standard concepts, practices, and procedures.<br><br>Bachelor's degree preferred; 2-4 years of related experience of training; or equivalent combination of education and experience.<br><br>Knowledge of ERP system.<br><br>Willingness to travel.<br><br>Reside in Oklahoma City area Not a remote position.
      ",eStaffing Inc.,"Oklahoma City, OK",,,Mid-Senior level,Full-time,Oil and Gas,Education and Training,https://www.linkedin.com/jobs/view/corporate-trainer-%E2%80%AF-oklahoma-city-ok-at-estaffing-inc-3615663387,linkedin,"""Training"" or ""trainer"""
1 SOPS / 7 SOPS Space Training and Test Analyst,"
        <strong><em>What you will be doing<br><br></em></strong><ul><li>Assist project teams with the design, development, testing, and fielding of training systems for the U.S. Department of Defense (DoD).</li><li>Work closely with the software team throughout the development process to provide detailed subject matter knowledge and testing on the command and control operations of the designated systems.</li><li>Draft/review documentation to support the training system development effort. </li><li>Provide knowledge of designated space operations, orbital mechanics, and insight into operational training needs.</li><li>Using your subject matter expertise and problem-solving skills, you will create and execute manual test cases in accordance with an established test strategy to verify/validate the system requirement specifications.</li><li>Modeling and simulation of satellite behaviors and advanced payloads </li><li>Space domain awareness, advanced training, and counter-space operations </li><li>User interface design and implementation</li><li>Report system defects, test, and track to closure</li><li>Provide partial onsite support at Schriever Space Force base. Primary base of operations will be from the Sonalysts Colorado Springs CO office. </li><li>Perform on-site and off-site demonstrations of the training system and associated training scenarios.</li><li>Perform troubleshooting and testing of the training system.<br><br><br></li></ul><strong>What’s In It For You?<br><br></strong><ul><li>Opportunity to challenge yourself with innovative projects and advanced technologies.</li><li>Participate in novel and cutting edge applications and software solutions.</li><li>Salary ranges between $90,000-$110,000, dependent on experience, qualifications and other relevant business criteria. There are no bonuses, commissions or other compensation unique to this job. </li><li>General benefits for full-time employees are described below.</li><ul><li>Flexible Work Schedule</li><li>Paid Time Off</li><li>Educational Reimbursement Program</li><li>Sonalysts Employee Stock Ownership Plan (ESOP)</li><li>Sonalysts Retirement and Savings (401(K)) Plan</li><li>Transportation spending accounts</li><li>Our health benefits include</li><ul><li>Comprehensive medical coverage offered through a High Deductible Health Plan with a national network of providers. A Health Reimbursement Account (HRA) is offered, which is used in conjunction with the High Deductible Health Plan.</li><li>Life accidental death and dismemberment insurance</li><li>Dental coverage</li><li>Short-term disability insurance</li><li>Long-term disability insurance</li><li>Medical and dependent care flexible spending accounts<br></li></ul></ul></ul><em>Note The foregoing description of benefits at Sonalysts is a highly simplified summary of a series of lengthy, complex, legal plan documents. Moreover, the plan documents are changed from time to time, both to address changes in the law and to address changes in the policies of the company. This highly simplified summary is provided solely to comply with Colorado law regarding the posting of the general nature of job opportunities, and not to convey any rights to any person. In every case, eligibility for any benefit, and the specific application of the benefit, provided under any such plan will be determined entirely by the applicable plan document itself without any reference to the highly simplified summary provided above. No right to any benefit will accrue to anyone by virtue of the foregoing highly simplified summary description.<br><br></em><strong><em>Required Qualifications<br><br></em></strong><ul><li>Must be a U.S. citizen, eligible for a U.S. Department of Defense (DoD) SECRET security clearance*</li><li>Minimum of 3 years of Department of Defense space operations experience.</li><li>Experience with 1st Space Operations Squadron (1 SOPS) and\or 7th Space Operations Squadron (7 SOPS) satellite systems.<br><br><br></li></ul><strong>Preferred </strong><strong><em>Qualifications<br><br></em></strong><ul><li>Possessing an active U.S. Department of Defense (DoD) security clearance*</li><li>Bachelors or Master’s Degree.</li><li>Experience with other space/satellite systems.</li><li>Experience as an instructor or evaluator in the area of space operations. </li><li>Instructor or curriculum developer in the area of space operations. </li><li>System testing experience.</li><li>Experience with the Standard Space Trainer (SST)</li><li>Maintaining a U.S. Government security clearance involves periodic comprehensive background checks. Candidates are eligible for a clearance if they have demonstrated sound financial management (including good credit) over time, are free of criminal records, have limited foreign contacts or ties, and other factors indicative of a position of trust to protect information sensitive to the U.S. Government.<br><br><br></li></ul>Sonalysts, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against on the basis of, race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, disability, or other basis protected by law.<br><br>This job is not available to residents of New York City because of local law restrictions there.<br><br>Drug Testing Employer<br><br>www.sonalysts.com
      ","Sonalysts, Inc.","Colorado Springs, CO",,,Not Applicable,Full-time,Defense and Space Manufacturing,Other,https://www.linkedin.com/jobs/view/1-sops-7-sops-space-training-and-test-analyst-at-sonalysts-inc-3755882424,linkedin,"""Training"" or ""trainer"""
Certified Personal Trainer,"
        StretchLab Santa Fe is seeking personal trainers, massage therapists, and dance/yoga/Pilates Instructors to join our team. This is an amazing opportunity to gain experience in a new modality that is taking the fitness industry by storm.<p><br></p>StretchLab is the industry leader in offering one-on-one assisted stretching. With Co- Founders coming from the Personal Training industry, Stretch Lab has created a variety of offerings to empower clients to ‘Live Long’. StretchLab has gathered a team of experts already certified in an array of related fields including physical therapy, chiropractic medicine, yoga, Pilates, and more. StretchLab prides itself on having the finest team of stretching professionals.<p><br></p>StretchLab’s proprietary flexologist TM training ensures that their clients receive a world class stretching session.<p><br></p>StretchLab Santa Fe Flexologists will provide one-on-one assisted stretches as well as lead guided group stretching classes for our clients.<p><br></p><strong>Essential Duties &amp; Responsibilities:</strong><p><br></p>Deliver one-on-one assisted stretch sessions as well as group stretch classes for up to 6 clients<p><br></p>Encourage and motivate clients throughout stretch sessions<p><br></p>Build StretchLab Santa Fe membership and retain current clientele through sales Managing client care -<p><br></p><ul><li>Delivering a best-in-class stretching experience</li><li>Booking client’s weekly recurring appointments</li><li>Updating client notes consistently</li><li>Maximize client utilization of sessions/membership by booking follow up appointments, renewing memberships, outreach to leads</li></ul><p><br></p>Ensure safety of clients in regards to proper stretch techniques and enforce StretchLab policies and safety rules<p><br></p>Attend staff meetings and required educational presentations<p><br></p>Handle member concerns when applicable<p><br></p>Assist sales associates and General Manager with studio tour and sales as needed<p><br></p>Maintain strong social media presence to client membership and retention Clean and maintain all equipment in order to ensure it is available for client use at any given time<p><br></p><strong>Qualifications:</strong><p><br></p>Love of boutique fitness environment is a must – passion for stretching, mobility and flexibility<p><br></p>Preferred background:<p><br></p><ul><li>Certified Massage Therapist</li><li>Certified Personal Trainer</li><li>Certified Physical Therapist</li><li>Certified Pilates Instructor</li><li>Certified Yoga Instructor</li></ul><p><br></p>Experience working in a fitness/health environment where you providing hands- on training with client<p><br></p>Fitness certification required<p><br></p>Ability to create a positive environment that welcomes all people<p><br></p>Fantastic communication skills and exudes empathy<p><br></p>Must love connecting with people and have passion for helping them achieve their goals<p><br></p>Must have a professional work ethic, be reliable and adhere to our attendance policies<p><br></p>Must be available to go through our 3 Day Flexologist Training Program, which includes 20 hours of online tutorials and 3 days of in-person/hands-on training<p><br></p>Powered by JazzHR<p><br></p>wxUNF5IaGE
      ",StretchLab Santa Fe,"Santa Fe, NM",,,Mid-Senior level,Part-time,Internet Publishing,Other,https://www.linkedin.com/jobs/view/certified-personal-trainer-at-stretchlab-santa-fe-3667205281,linkedin,"""Training"" or ""trainer"""
Dynamic Presenter - Virtual and In-Person Test Prep Instructor REMOTE,"
        Reach the students who need it the most with high-impact test preparation.<br><br>Are you looking for a flexible part-time job that comes with an opportunity to change lives? Are you a teacher, a trainer, a tutor, a coach – or simply someone with a passion for developing others? If so, join our diverse team of engaging and compassionate instructors, united for the common goal of helping students succeed through increased test scores. We need engaging public speakers who can move an auditorium and light up a Zoom!<br><br>As a MasteryPrep Instructor, you will receive extensive training that boosts your teaching and presentation skills. Through live in-person and virtual instruction, you will positively impact students nationwide. Your schedule will be built around your personal availability, ensuring flexibility, with event and class offers that provide a variety of work opportunities throughout the year.<br><br><strong>About Us<br><br></strong>Nearly 90% of low-income students graduate high school without a college-ready ACT or SAT score. MasteryPrep’s mission is to level the playing field in education by offering the most effective test preparation available – made accessible to all students.<br><br>Through 10 successful years of partnering with school districts and institutions on college readiness services and resources, MasteryPrep has surpassed one million students served since the company’s founding in 2012.<br><br>MasteryPrep has increased its student outreach by 200 percent since 2020 and is ranked among the Inc. 5000 “Fastest Growing Companies,” featured by “Entrepreneur 360,” and selected among the “Growth Leaders” by Louisiana Economic Development.<br><br>Check out what our instructors say about working with us:<br><br><ul><li>“MasteryPrep is a great teaching experience. It allows me to help prepare students for the biggest test that will determine their future. I enjoy watching my students build their confidence, and being with them each step of this journey.”</li><li>“MasteryPrep gives me a unique opportunity to use my experience as a certified teacher in a positive and life-changing way for students. The joy on their faces when they have achieved their desired ACT goal is so rewarding.”<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Positive attitude</li><li>Engaging and entertaining presentation style</li><li>Desire to grow and receive feedback</li><li>Excellent interpersonal and communication skills</li><li>Willingness to travel locally/regionally on weekdays for in-person events</li><li>Ability to work remotely and report regularly</li><li>Reliable internet and web camera</li><li>Deep belief in the potential of all students and a deep commitment to helping students reach their full potential</li><li>Respect for individuals' diverse experiences and the ability to work effectively with people from a variety of backgrounds</li><li>Bachelor’s degree or higher</li><li>Valid driver's license</li><li>Resident of NM, TX, OK, LA, AR, MS, MO, TN, AL, KY, GA, FL, NC, SC, WV or VA</li><li>Test prep experience preferred but not required</li><li> This position does NOT require a teaching certification <br><br></li></ul>Position: Independent Contractor<br><br>Pay: $50-$100/hour for in-person instruction
      ",MasteryPrep,"Nashville, TN",,,Entry level,Part-time,"Technology, Information and Internet","Marketing, Public Relations, and Writing/Editing",https://www.linkedin.com/jobs/view/dynamic-presenter-virtual-and-in-person-test-prep-instructor-remote-at-masteryprep-3761317261,linkedin,"""Training"" or ""trainer"""
Trainer,"
        <p><em>With a legacy that spans over 100 years, Stelco is a company that has grown along with Canada and its global partners. We understand that twenty-first century competition demands the highest quality products, period. So, Stelco is bringing together the people, technology, and unmatched market knowledge to, once again, take on that challenge from here at home.</em></p><p><br></p><p><br></p><p><strong>Job Location:</strong> Nanticoke, ON</p><p><strong>Job Type</strong>: Full Time, Permanent</p><p><br></p><p><br></p><p><strong>About the role:</strong></p><p>Stelco has an immediate opening for a Trainer in the Human Resources department at our Lake Erie Works facility and will also involve visits to our Hamilton location.</p><p><br></p><p><strong>Your day-to-day:</strong></p><ul><li>Deliver required training in accordance with the Master Training Matrix and department requests in consultation with the Training Coordinator.</li><li>Collaboratively develop all training curriculum based on legislation, manufacturers’ / suppliers’ specifications, operational and maintenance procedures, corporate standards, requirements, and objectives.</li><li>Undertake regular reviews of curriculum and update and refine as may be required in consultation with the Training team to ensure effective training and delivery.</li><li>Develop systems and strategies for updating and refreshing training on a regular basis.</li><li>Obtain required equipment, supplies, and resources to safely and effectively deliver training.</li><li>Research and investigate new or updated industrial training methods.</li><li>Collaborate with departments and the Training Team members in maintaining an overall strategic training plan.</li><li>Provide reports on completed training sessions and on individuals receiving training.</li><li>Administer testing material to evaluate the level of competency of trainees in the theoretical and practical application of the subject matter.</li><li>Prepare presentations, handouts, and other training materials.</li></ul><p><br></p><p><strong>What you bring to the table-</strong></p><p><strong>Job Qualifications:</strong></p><ul><li>3-5 years recent related experience in a similar role required</li><li>Train the Trainer qualifications preferred.</li><li>Credentials in adult education are an asset.</li></ul><p><br></p><p><strong>Job Skills and Knowledge:</strong></p><ul><li>Proficiency in Microsoft Office Suite and learning management systems (LMS)</li><li>Knowledge of current legislation</li><li>Knowledge and experience in Working At Heights, Confined Spaces, Personal Protective Equipment, Energy Control, Self-Contained Breathing Apparatus, Elevated Work Platforms, Cranes, Forklifts, WHMIS</li><li>5 years technical experience in Steelmaking</li><li>5 years of experience facilitating adult education (e.g., developing curriculum, training adults, scheduling courses, coaching).</li><li>2 years of experience developing and delivering training to a range of employees in an industrial setting.</li><li>Excellent time management and organizational skills</li><li>Strong interpersonal skills</li><li>Ability to Champion Change</li><li><br></li></ul><p><strong>Your work environment:</strong></p><p>· Normal, fast-paced office environment for a high impact team</p><p><br></p><p><strong>Closing Date:</strong></p><p>· November 17, 2023</p><p><br></p><p><em>In accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act, Stelco is an equal opportunity employer who is committed to providing an inclusive and barrier free recruitment and selection process. Applicants should advise Human Resources if they require any type of accommodation during the recruitment process.</em></p>
      ",STELCO - The Steel Company of Canada,"Nanticoke, Ontario, Canada",,,Associate,Full-time,Manufacturing,Human Resources and Training,https://ca.linkedin.com/jobs/view/trainer-at-stelco-the-steel-company-of-canada-3748226679,linkedin,"""Training"" or ""trainer"""
Company Trainer,"
        <strong>Role: Company Trainer <br><br></strong><strong>Industry: Oil and Gas <br><br></strong><strong>Location: Oklahoma City, OK 73128 <br><br></strong><strong>Experience: 2+ Years <br><br></strong><strong>Duration: Full-time, Permanent, Onsite <br><br></strong><strong><u>Job Responsibility<br><br></u></strong>Previous manufacturing experience; preferably valve industry related manufacturer. Experience with oil and gas standard concepts, practices, and procedures.<br><br>Bachelor's degree preferred; 2-4 years of related experience of training; or equivalent combination of education and experience.<br><br>Knowledge of ERP system.<br><br>Willingness to travel.<br><br>Reside in Oklahoma City area Not a remote position.
      ",eStaffing Inc.,"Oklahoma, United States",,,Entry level,Full-time,Oil and Gas,Education and Training,https://www.linkedin.com/jobs/view/company-trainer-at-estaffing-inc-3630458466,linkedin,"""Training"" or ""trainer"""
